Linha 1-Azul,Linha 2-Verde,Linha 3-Vermelha,Linha 4-Amarela,Linha 5-Lilás,Linha 7-Rubi,Linha 8-Diamante,Linha 9-Esmeralda,Linha 10-Turquesa,Linha 11-Coral,Linha 12-Safira,Linha 13-Jade,Linha 15-Prata
Tucuruvi,Vila Madalena,Palmeiras-Barra Funda,Vila Sônia,Capão Redondo,Luz,Júlio Prestes,Osasco,Brás,Luz,Brás,Luz,Vila Prudente
Parada Inglesa,Sumaré,Marechal Deodoro,São Paulo - Morumbi,Campo Limpo,Palmeiras-Barra Funda,Palmeiras-Barra Funda,Presidente Altino,Mooca,Brás,Tatuapé,Brás,Oratório
Jardim São Paulo - Ayrton Senna,Clínicas,Santa Cecília,Butantã,Vila das Belezas,Água Branca,Lapa,Ceasa,Ipiranga,Tatuapé,Engenheiro Goulart,Tatuapé,São Lucas
Santana,Consolação,República,Pinheiros,Giovanni Gronchi,Lapa,Domingos de Moraes,Vila Lobos-Jaguaré,Tamanduateí,Itaquera,USP Leste,Eng. Goulart,Camilo Haddad
Carandiru,Trianon-Masp,Anhangabaú,Faria Lima,Santo Amaro,Piqueri,Imperatriz Leopoldina,Cidade Universitária,São Caetano,Dom Bosco,Comendador Ermelino,Guarulhos-Cecap,Vila Tolstói
Portuguesa-Tietê (ex Tietê),Brigadeiro,Sé,Fradique Coutinho,Largo Treze,Pirituba,Presidente Altino,Pinheiros,Utinga,José Bonifácio,São Miguel Paulista,Aeroporto-Guarulhos,Vila União
Armênia (ex Ponte Pequena),Paraíso,Pedro II,Oscar Freire,Adolfo Pinheiro,Vila Clarice,Osasco,Hebraica-Rebouças,Prefeito Saladino,Guaianases,Jardim Helena-Vila Mara,,Jd. Planalto
Tiradentes,Ana Rosa,Brás,Paulista,Alto da Boa Vista,Jaraguá,Comandante Sampaio,Cidade Jardim,Prefeito Celso Daniel - Santo André,Antônio Gianetti Neto,Itaim Paulista,,Sapopemba
Luz,Chácara Klabin,Bresser-Mooca,Higienópolis-Mackenzie,Borba Gato,Vila Aurora,Quitaúna,Vila Olímpia,Capuava,Ferraz de Vasconcelos,Jardim Romano,,Fazenda da Juta
São Bento,Santos-Imigrantes,Belém,República,Brooklin,Perus,General Miguel Costa,Berrini,Mauá,Poá,Engenheiro Manoel Feio,,São Mateus
Sé,Alto do Ipiranga,Tatuapé,Luz,Campo Belo,Caieiras,Carapicuíba,Morumbi,Guapituba,Calmon Viana,Itaquaquecetuba,,
Liberdade,Sacomã,Carrão,,Eucaliptos,Franco da Rocha,Santa Terezinha,Granja Julieta,Ribeirão Pires,Suzano,Aracaré,,
São Joaquim,Tamanduateí,Penha,,Moema,Baltazar Fidélis,Antonio João,João Dias,Rio Grande da Serra,Jundiapeba,Calmon Viana,,
Vergueiro,Vila Prudente,Vila Matilde,,AACD-Servidor,Francisco Morato,Barueri,Santo Amaro,,Brás Cubas,,,
Paraíso,,Guilhermina-Esperança,,Hospital São Paulo,Botujuru,Jardim Belval,Socorro,,Mogi das Cruzes,,,
Ana Rosa,,Patriarca,,Santa Cruz,Campo Limpo Paulista,Jardim Silveira,Jurubatuba,,Estudantes,,,
Vila Mariana,,Artur Alvim,,Chácara Klabin,Várzea Paulista,Jandira,Autódromo,,,,,
Santa Cruz,,Corinthians-Itaquera,,,Jundiaí,Sagrado Coração,Primavera-Interlagos,,,,,
Praça da Árvore,,,,,,Engenheiro Cardoso,Grajaú,,,,,
Saúde,,,,,,Itapevi,Mendes-Vila Natal,,,,,
São Judas,,,,,,Santa Rita,,,,,,
Conceição,,,,,,Amador Bueno,,,,,,
Jabaquara,,,,,,,,,,,,
